59,6,00:1e:7a:28:0a:3f,5180,-90,-91,-91,-91,-91,-91,-88,-88
59,6,f4:cf:e2:b3:08:7f,5200,-85,-90,-91,-91,-91,-90,-88,-89,-89
59,6,f4:cf:e2:b3:08:70,2462,-87,-87,-87,-87,-87,-87
59,6,00:1e:7a:28:0a:30,2462,-87,-88,-88,-88,-88,-88,-88,-86
59,6,08:17:35:9d:34:bf,5180,-88
59,6,08:17:35:9d:34:b0,2437,-77,-79,-82,-82,-81,-79,-82,-80,-85,-78
59,6,00:23:33:20:eb:20,2437,-88,-88,-88,-88
70,11,00:23:33:20:eb:2f,5240,-86,-84,-80,-80,-80,-80,-79,-79,-78,-79
70,11,08:17:35:9c:e1:c0,2462,-84
70,11,08:17:35:9d:34:bf,5180,-69,-64,-65,-64,-64,-68,-69,-68,-68,-68
70,11,08:17:35:9d:34:b0,2437,-59,-51,-50,-52,-54,-54,-56,-55,-55,-58
70,11,00:23:33:20:eb:20,2437,-82,-84,-84,-84,-84,-86,-86,-86
70,11,08:17:35:9d:27:00,2437,-80,-84,-84,-84,-84,-84,-84
70,7,f4:cf:e2:b3:a8:10,2412,-86,-86,-86,-86,-88,-88
70,7,00:23:04:5c:9b:70,2462,-76,-78,-80,-78,-81,-80,-78,-76,-86,-75
70,7,08:17:35:9d:34:bf,5180,-69,-67,-67,-65,-64,-67,-68,-68,-65,-64
70,7,00:23:04:5c:9b:7f,5180,-84,-82,-90,-90,-90
70,7,08:17:35:9d:27:00,2437,-78,-79,-79,-79,-78,-59,-78,-77,-78,-78
70,7,f4:cf:e2:be:78:f0,2412,-85,-85,-85,-88,-88,-88,-88,-88,-88
70,7,f4:cf:e2:b3:08:7f,5200,-89,-89,-89,-89,-89,-89,-90,-88,-87
70,7,08:17:35:9d:34:b0,2437,-59,-64,-56,-56,-57,-60,-59,-59,-60,-62
47,11,2c:3f:38:30:2d:d0,2437,-84,-84,-84,-84,-84,-84,-84
47,11,08:17:35:9c:df:b0,2412,-81,-82,-82,-82,-82,-68,-84,-84,-84
47,11,08:17:35:9d:34:bf,5180,-90
47,11,00:1e:7a:28:0a:3f,5180,-68,-79,-79,-79,-82,-83,-83,-83,-83,-83
47,11,00:23:33:20:eb:2f,5240,-79,-80,-81,-80,-89,-81,-82,-82,-82,-84
47,11,08:17:35:9d:30:2f,5180,-79,-78,-78,-77,-79,-79,-87,-80,-76,-77
47,11,08:17:35:9d:30:20,2412,-67,-67,-67,-67,-67,-67,-68,-68,-66,-67
47,11,00:1e:7a:28:0a:30,2462,-74,-76,-74,-75,-77,-76,-76,-75,-76,-76
47,11,08:17:35:9d:34:b0,2437,-74,-71,-71,-70,-69,-71,-73,-68,-70,-70
47,11,00:23:33:20:eb:20,2437,-73,-78,-78,-78,-78,-75,-76,-73,-73,-75
47,6,2c:3f:38:30:2d:d0,2437,-79,-80,-81,-81,-81,-81,-81,-81,-86,-86
47,6,08:17:35:9c:df:b0,2412,-71,-71,-71,-67,-67,-67,-72,-71,-70,-70
47,6,00:1e:7a:28:0a:3f,5180,-90,-90,-89,-89,-89,-90,-90,-88,-88,-88
47,6,00:23:33:20:eb:2f,5240,-83,-81,-79,-86,-80,-80,-77,-80,-73,-76
47,6,08:17:35:9d:30:2f,5180,-80,-81,-82,-80,-77,-75,-76,-79,-82,-80
47,6,08:17:35:9d:30:20,2412,-68,-68,-68,-65,-65,-66,-68,-70,-74,-72
47,6,08:17:35:9d:34:b0,2437,-87,-87,-87,-87,-87,-87
47,6,00:23:33:20:eb:20,2437,-69,-70,-73,-88,-68,-68,-69,-68,-67,-67
29,6,08:17:35:82:72:6f,5745,-86,-85,-85,-85,-86,-86
29,6,50:1c:bf:b5:43:3f,5805,-71,-71,-71,-72,-71,-71,-71,-70,-74,-72
29,6,08:17:35:9d:26:2f,5180,-90,-90,-90,-90
29,6,08:17:35:82:72:60,2412,-80,-78,-77,-77,-77,-77,-78,-80,-79,-76
29,6,50:1c:bf:b5:43:30,2462,-69,-69,-69,-69,-68,-69,-69,-68,-67,-68
29,6,08:17:35:9d:26:20,2437,-85,-85,-85,-85,-85,-85,-85,-85
29,6,38:1c:1a:9a:5c:20,2437,-83,-82,-82,-82,-84,-84,-84,-84
29,6,00:23:33:20:eb:2f,5240,-63,-66,-64,-60,-68,-59,-62,-63,-61,-61
29,6,00:23:33:20:eb:20,2437,-55,-61,-57,-56,-55,-58,-54,-56,-61,-51
29,11,08:17:35:82:72:6f,5745,-80,-81,-83,-83,-82,-82,-83,-78,-84,-79
29,11,50:1c:bf:b5:43:3f,5805,-79,-79,-81,-81,-80,-81,-80,-80,-81,-79
29,11,08:17:35:82:72:60,2412,-71,-74,-75,-75,-76,-74,-76,-77,-78,-78
29,11,50:1c:bf:b5:43:30,2462,-80,-80,-80,-80,-79,-81,-81,-81,-81,-83
29,11,08:17:35:9d:26:20,2437,-84,-84,-84,-84,-84,-84
29,11,00:1e:4a:55:73:2f,5240,-59,-59,-59,-59,-90,-90,-59,-59,-59,-59
29,11,00:23:33:20:eb:2f,5240,-55,-57,-57,-59,-65,-60,-65,-62,-57,-58
29,11,00:1e:4a:55:73:20,2437,-84,-84,-84,-84,-83,-83,-82,-82,-82,-82
29,11,00:23:33:20:eb:20,2437,-52,-50,-58,-51,-54,-50,-57,-50,-51,-51
22,11,38:1c:1a:9a:5c:20,2437,-84,-85,-85,-85,-85,-85,-85,-83,-83,-83
22,11,08:17:35:9c:8a:70,2412,-88,-88,-88,-88,-88,-88
22,11,08:17:35:9d:26:2f,5180,-91,-90,-90,-90,-90,-90,-89,-89
22,11,08:17:35:82:72:60,2412,-78,-81,-79,-80,-83,-80,-80,-78,-78,-76
22,11,00:23:33:20:eb:2f,5240,-78,-83,-79,-79,-79,-80,-80,-80,-77,-78
22,11,00:1e:4a:55:73:20,2437,-83,-82,-82,-82,-82,-82,-82,-82
22,11,00:23:33:20:eb:20,2437,-67,-67,-66,-65,-74,-74,-68,-69,-67,-64
1,11,08:17:35:63:f2:70,2437,-88,-88,-88,-88,-88,-88
1,11,00:23:33:20:eb:2f,5240,-81,-79,-77,-76,-77,-76,-76,-75,-76,-76
1,11,00:23:33:20:fb:70,2412,-66,-68,-73,-66,-65,-65,-66,-71,-66,-66
1,11,00:1e:4a:55:73:20,2437,-77,-74,-73,-71,-75,-72,-75,-72,-77,-77
1,11,00:23:33:20:fb:7f,5745,-82,-78,-73,-72,-77,-79,-75,-79,-80,-80
1,11,00:23:33:20:eb:20,2437,-82,-82,-82,-82,-76,-76,-76,-76,-79,-84
22,19,08:17:35:9d:26:2f,5180,-85,-81,-82,-82,-80,-80,-80,-83,-83,-83
22,19,00:23:33:20:fd:b0,2437,-86,-86
22,19,08:17:35:9d:26:20,2437,-76,-75,-76,-76,-90,-76,-76,-76,-76,-74
22,19,2c:3f:38:2a:d9:60,2462,-86,-85,-84,-84,-84,-86,-86,-86,-81,-84
22,19,08:17:35:9c:8a:70,2412,-83,-83,-83,-82,-82,-81,-81,-81
22,19,00:23:33:20:eb:2f,5240,-90,-89,-88,-86,-87,-87,-87,-87,-87,-87
